ori_first_two,data_year,Acquaintance,Babysittee,Boyfriend/Girlfriend,Child of Boyfriend/Girlfriend,Child,Employee,Employer,Friend,Grandchild,Grandparent,Homosexual Relationship,In-Law,Neighbor,Other Family Member,Otherwise Known,Parent,Relationship Unknown,Sibling,Stepchild,Spouse,Stepparent,Stepsibling,Stranger,Offender,Ex Spouse,Common Law Spouse
IL,2021,15545,42,18746,298,3770,416,415,3882,168,589,0,664,3256,4502,9806,5119,44179,3465,444,5284,465,168,23557,4122,939,3030
IL,2022,22700,62,28053,418,6052,727,686,6133,295,970,0,1136,5522,7510,17841,7956,68000,5482,702,7963,611,243,38931,6423,1365,3166
IN,2018,783,5,1507,36,226,32,31,313,15,25,20,50,184,252,1259,254,2045,206,39,432,44,10,473,533,234,30
IN,2019,3867,43,5792,156,1001,169,132,1207,119,125,3,154,574,772,3140,995,5934,712,226,1632,132,44,3181,1382,430,161
IN,2020,9703,81,13590,398,2515,294,297,3390,205,400,3,424,1725,2107,7618,2719,19616,1792,485,3742,315,135,10531,3586,1032,287
IN,2021,11946,92,13800,487,2967,442,457,3842,262,570,0,486,2164,2581,8845,3698,20836,2346,584,4844,486,154,13226,4953,1104,254
IN,2022,11724,85,12989,459,3137,486,474,3627,253,548,0,507,2017,2480,9798,3594,18877,2389,591,4675,400,130,13589,5643,1217,254
KS,2018,11559,42,7660,202,1613,71,51,962,129,174,344,268,593,882,3416,2054,3327,1365,308,3594,252,55,6956,4240,579,329
KS,2019,11992,34,7906,223,1759,70,65,1186,121,247,386,277,648,899,3597,2235,3781,1292,300,3644,206,68,6830,4082,596,266
KS,2020,12438,19,8729,209,1848,73,61,1199,108,253,516,319,867,996,3992,2554,5153,1528,327,3763,235,68,7609,4716,662,257
KS,2021,13671,40,9521,256,1816,102,69,1261,137,255,1,282,813,1009,4255,2650,6302,1480,301,3764,236,78,7392,4781,694,296
KS,2022,12254,31,8411,207,1676,88,86,1184,150,238,0,267,762,856,4041,2376,6688,1454,267,3446,228,73,6506,4146,631,215
KY,2018,9808,88,8682,432,2549,124,142,1569,272,276,372,295,1188,1524,5232,1970,3021,1126,475,3077,201,131,9958,1680,581,90
KY,2019,15647,89,9433,346,2659,399,594,2993,251,719,378,532,2228,2384,7843,3499,6797,1968,412,3255,395,200,23163,1456,829,121
KY,2020,14235,78,10159,363,2671,339,416,2962,247,646,416,438,2453,2336,7564,3360,5860,1973,467,3117,381,190,23998,1513,800,51
KY,2021,12938,66,10437,350,2781,259,401,2567,249,596,0,417,2450,2200,7381,3009,5636,1838,431,3075,330,145,21572,1425,813,54
KY,2022,11101,80,8084,279,2516,270,363,2097,222,496,0,395,2021,1809,6994,2633,5866,1532,430,2695,271,116,18916,1300,672,38
LA,2018,2228,4,3254,71,487,28,34,454,37,52,75,123,205,510,1866,563,4102,470,107,1154,90,26,597,1495,216,221
LA,2019,3255,5,3702,93,541,46,29,474,47,77,11,110,258,569,1703,649,3802,541,128,1192,92,24,749,2040,320,197
LA,2020,3902,8,6158,150,763,42,39,684,50,115,0,176,436,838,2444,904,5185,784,151,1688,137,29,1455,2182,447,361
LA,2021,8102,18,12870,384,1898,179,171,1424,137,263,0,356,983,1809,5777,2315,12309,1654,386,3798,289,87,3629,3850,826,925
LA,2022,8449,28,12054,382,1920,188,214,1399,161,255,0,355,891,1725,6050,2260,12165,1682,407,3707,283,74,3626,4264,782,945
MA,2018,7313,57,12910,237,1871,200,160,1879,140,171,507,340,1681,1297,8506,2807,7069,1868,284,3368,281,88,10424,1702,1010,101
MA,2019,9258,50,13380,247,1989,325,371,2449,140,326,325,406,2340,1630,11023,3545,11355,2176,317,3468,284,69,17019,1952,1346,133
MA,2020,9362,22,14000,243,2014,293,339,2808,103,392,0,460,3833,1888,12741,4000,17115,2474,325,3549,365,80,20910,2111,1356,114
MA,2021,9686,23,12914,188,2124,366,345,2837,122,366,0,440,3843,1921,11745,3756,18268,2435,316,3472,344,102,20153,2532,1003,120
MA,2022,9134,46,12287,206,2138,355,413,2783,103,377,0,411,3645,1939,11634,3952,19963,2467,365,3593,317,74,19597,2597,934,168
MD,2018,875,7,734,174,201,32,13,162,1,14,31,6,67,149,1011,212,617,195,25,541,16,9,1295,856,24,8
MD,2019,1400,10,1029,302,259,72,26,239,9,17,40,12,113,236,1097,234,12151,219,59,598,32,11,2713,857,36,13
MD,2020,1434,12,1480,355,291,46,36,230,17,35,31,26,181,289,897,294,19206,265,74,709,39,11,2895,919,59,22
MD,2021,7439,38,8846,541,1713,225,153,1706,135,305,0,227,1181,1366,4774,2316,32293,1614,254,2827,203,68,7592,9194,302,72
MD,2022,10698,59,11865,598,2390,356,239,2210,154,454,0,319,1605,1824,7465,3437,45616,2291,351,3990,364,101,12229,12315,462,97
ME,2018,919,5,1045,26,159,17,11,275,18,15,33,20,162,113,607,204,159,107,38,259,26,7,623,98,144,23
ME,2019,1422,12,1460,53,285,24,35,331,36,37,22,48,286,179,858,268,287,197,59,389,47,20,950,191,173,19
ME,2020,2153,8,1708,40,324,39,45,566,38,64,0,63,637,310,1175,498,490,254,62,493,55,12,2092,231,178,35
ME,2021,3409,16,2622,80,513,107,101,888,55,110,0,96,872,433,1615,667,745,340,80,778,69,39,2978,333,273,38
ME,2022,3545,11,2444,69,439,100,115,832,41,120,0,96,796,342,1698,757,1157,318,84,839,109,20,3362,252,237,38
MI,2018,18936,86,20829,629,5564,616,483,5967,459,624,533,738,3003,4194,40724,6886,29019,5673,890,9615,811,329,13760,3479,1346,453
MI,2019,17408,93,21162,601,6074,706,878,6950,490,990,216,824,3985,4891,50230,7985,82373,6309,973,9530,939,355,23567,3330,1593,441
MI,2020,16836,84,23810,580,5890,588,681,7563,487,985,22,807,5238,5445,55517,8639,80051,6551,865,9599,931,319,26441,3280,1634,447
MI,2021,18147,84,26790,741,6920,803,758,8440,541,1105,0,1008,5848,5923,61297,9815,63575,6951,1122,10492,1086,373,30363,4055,1993,525
MI,2022,17766,78,25269,754,7443,870,818,8247,591,1223,0,948,5577,5883,60731,10253,61967,7258,1204,10328,1107,349,32692,4281,1837,504
MN,2018,1117,8,1157,51,257,18,10,114,18,9,6,32,66,159,427,253,545,212,47,323,21,10,491,317,73,15
MN,2019,3774,19,3732,159,1323,53,41,498,60,78,0,70,247,579,1386,746,3846,639,125,867,75,36,2454,1008,217,48
MN,2020,5941,46,6044,260,1844,84,46,716,74,97,0,106,460,819,2242,1304,7285,1072,155,1655,99,46,3956,1752,346,78
MN,2021,9125,63,8606,324,2049,131,82,864,118,128,0,153,696,1093,3393,1997,12556,1482,237,2345,149,87,6102,2537,459,104
MN,2022,8761,49,7616,309,2315,135,72,862,106,129,0,124,571,1078,3472,1929,12906,1369,222,2317,171,78,5415,2590,469,81
MO,2018,3333,15,5772,151,740,81,42,619,54,84,250,105,242,680,2062,870,8203,654,111,1529,88,13,2291,1830,301,63
MO,2019,4361,29,6564,174,1095,95,49,867,62,140,7,159,410,848,1742,1226,12022,841,139,1992,149,22,3645,2726,260,50
MO,2020,10567,69,12251,403,2384,216,217,2395,185,449,0,383,1486,1905,4393,3212,33991,2140,353,4338,318,101,13849,5857,716,107
MO,2021,16204,93,17552,446,3631,381,451,3745,306,679,0,599,2548,2951,7720,4902,45345,3059,586,6827,478,166,23501,8517,1071,193
MO,2022,15832,110,16004,420,3478,337,395,3253,274,671,0,596,2417,2794,7571,4928,42743,3196,593,6416,510,157,22424,8062,1048,165
MS,2018,1339,3,1777,43,179,32,9,296,14,22,55,45,213,210,707,281,1740,222,50,567,40,8,1061,767,121,9
MS,2019,1766,12,2288,51,272,67,49,469,31,34,41,75,315,321,949,407,2812,335,73,784,52,17,1150,1193,145,18
MS,2020,4241,11,4278,81,503,97,96,716,70,129,3,174,596,824,1994,861,8232,663,130,1404,125,27,2082,1547,327,39
MS,2021,4385,23,4986,92,560,109,113,795,49,152,0,177,705,873,2568,1008,10344,650,147,1629,125,28,2420,1806,321,56
MS,2022,3584,23,4130,84,534,149,118,654,64,118,0,182,554,772,2202,820,9902,537,140,1543,116,42,1853,1462,281,54
MT,2018,2060,23,2568,110,599,24,14,414,67,58,41,87,129,277,1273,574,1555,402,143,977,60,26,1687,468,266,141
MT,2019,2178,22,2614,92,640,30,24,419,60,73,0,64,164,272,1210,542,1535,428,102,948,74,40,1742,437,231,159
MT,2020,2185,32,3014,109,723,22,12,387,49,50,0,89,254,276,1273,637,1662,456,133,1015,74,43,1914,415,294,169
MT,2021,2656,13,3445,98,785,40,25,418,47,124,0,97,248,404,1428,875,2050,627,112,1074,64,30,2526,542,255,172
MT,2022,2468,17,2927,80,745,21,31,432,72,111,0,109,231,381,1592,760,1781,485,138,1100,76,27,2516,525,300,117
NB,2018,2645,14,1667,78,418,25,9,339,26,19,42,46,113,217,1208,419,821,396,69,850,57,23,797,1236,97,30
NB,2019,2445,21,1832,63,443,28,17,330,28,37,20,58,104,257,1029,444,698,338,81,827,56,21,853,1264,102,20
NB,2020,2345,7,1987,73,494,48,15,359,33,35,0,58,115,268,956,402,830,373,81,782,54,23,951,1141,86,24
NB,2021,4144,23,3121,152,1060,36,54,843,66,99,0,103,417,528,2228,944,3814,616,161,1171,104,42,3263,1184,245,39
NB,2022,4234,34,3094,115,1054,47,72,840,62,116,0,75,498,453,2097,1100,4131,689,139,1167,97,32,3600,2113,191,32
NC,2019,22120,146,31207,836,4891,540,397,4186,387,491,0,643,2637,3504,15815,4871,18542,3609,765,8457,461,126,13689,10620,2060,584
NC,2020,20341,117,35529,1033,5269,472,371,4428,431,571,0,707,3078,3933,15549,5561,22593,3978,825,8853,555,148,14141,10485,2455,699
NC,2021,20617,137,35456,1049,5608,565,442,4362,448,602,0,751,3130,4079,17024,5439,25028,3973,933,8831,519,142,13292,11996,2440,707
NC,2022,22571,150,32918,978,5793,639,526,4259,449,726,0,723,3385,3987,17209,5729,30444,3910,818,8481,552,157,13962,12380,2121,713
ND,2018,1910,25,2820,86,497,21,29,461,42,16,84,80,183,233,1579,410,397,436,81,680,62,24,917,1014,130,0
ND,2019,1947,24,2877,77,553,35,44,520,40,21,82,50,182,260,1766,447,382,375,80,772,59,26,862,944,119,0
ND,2020,1870,26,2879,64,565,20,9,536,33,19,74,66,178,211,1708,450,376,441,84,762,52,21,1042,1064,123,1
ND,2021,2663,28,2560,67,613,49,27,546,36,58,0,55,248,362,2070,610,925,487,88,766,49,20,1587,1297,167,0
ND,2022,2562,18,2338,52,619,56,54,636,28,53,0,77,267,336,2169,668,1008,462,90,807,56,18,1932,1177,139,1
NH,2018,2892,24,3817,96,759,45,39,704,68,84,138,69,467,311,2212,1050,812,527,157,1154,89,43,1753,864,392,32
NH,2019,2990,17,3312,85,746,78,82,866,75,121,133,84,523,379,2357,1268,974,565,126,1124,118,41,3068,876,343,48
NH,2020,2863,17,3118,97,760,63,80,833,70,135,72,108,732,445,2451,1467,1322,545,144,1143,149,48,4043,879,320,29
NH,2021,3324,17,2949,75,776,99,102,993,82,166,0,106,735,474,2727,1373,2156,587,151,1146,130,48,4657,855,271,30
NH,2022,3325,15,2659,89,774,96,102,861,77,137,0,99,757,468,2442,1476,1737,553,136,1172,124,38,4125,775,290,38
NJ,2020,8,0,9,0,0,0,0,0,0,0,0,0,0,0,4,1,16,0,1,3,0,0,3,2,0,0
NJ,2021,3118,10,6990,129,442,161,117,795,30,38,0,56,624,597,1837,930,3151,614,41,1855,72,21,7114,591,233,144
NJ,2022,5667,18,11935,183,966,355,238,1529,64,157,0,150,1287,1084,5395,2087,6569,1282,115,3572,168,35,13572,1255,628,267
NM,2018,1774,6,4859,98,659,55,24,354,42,86,14,89,357,358,844,1137,6883,615,89,1069,77,21,2018,69,326,31
NM,2019,2052,5,5000,71,687,46,46,558,54,166,10,124,471,499,1979,1510,33940,675,97,1297,95,26,4061,140,418,40
NM,2020,3047,10,6601,121,935,87,52,810,72,252,6,243,772,912,2673,2137,13736,1054,148,1763,163,51,7743,304,636,81
NM,2021,4398,15,8707,212,1209,156,113,1213,108,367,0,377,1122,1507,3808,3114,17287,1380,217,2548,231,40,9664,738,1099,126
NM,2022,4608,21,7959,147,1310,167,119,1226,117,399,0,455,1165,1579,4800,3199,20838,1379,243,2336,250,47,7383,1043,1155,148
NV,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0
NV,2019,257,3,327,6,65,12,17,67,4,13,0,9,40,41,154,126,2081,42,15,134,5,2,388,91,10,15
NV,2020,3983,21,7482,141,1200,186,126,1211,88,193,0,191,927,794,2418,1822,21938,958,184,2334,184,74,10223,1314,443,96
NV,2021,9344,69,17211,352,3162,394,272,2475,238,388,0,425,2026,1978,5195,4489,33321,1997,474,5964,363,155,27298,2122,1029,202
NV,2022,8698,50,15477,355,3188,430,314,2239,198,391,0,358,1799,1918,5486,4565,31459,1827,480,5810,389,106,28596,1816,1074,155
NY,2018,7,0,26,0,1,0,0,1,1,0,0,0,1,7,20,4,193,0,2,0,2,1,11,0,19,0
NY,2019,20,0,361,1,2,1,1,4,0,2,0,0,1,4,59,5,2430,6,2,10,1,0,54,0,290,0
NY,2020,82,0,3969,2,17,3,9,19,3,2,0,2,15,22,97,30,22871,20,3,32,2,2,187,0,3830,0
NY,2021,899,2,11855,17,128,24,28,146,4,30,0,19,168,168,579,239,66643,117,13,158,20,10,1250,0,9992,1
NY,2022,6623,8,11216,105,888,159,134,1268,46,226,0,158,1523,913,4661,2596,42895,1123,94,2291,185,50,13174,0,10150,0
OH,2018,27828,154,26943,978,8870,456,285,4647,584,742,779,664,4642,10612,23077,7195,24875,5143,657,8475,753,215,12530,8861,1885,1976
OH,2019,27581,147,28771,912,9262,484,241,5123,641,773,840,611,4908,10560,23904,7546,28906,5411,770,8560,795,234,14096,8924,2066,1942
OH,2020,34961,155,35285,962,8894,571,385,7168,565,1281,114,681,7135,12416,29325,9280,66948,6208,788,8791,835,207,23049,9941,3018,1899
OH,2021,36043,138,34117,894,7898,739,462,6899,515,1237,0,677,7791,12302,30569,9585,70246,6159,779,8740,823,216,24513,10122,2634,2981
OH,2022,33659,137,30712,928,8136,794,478,6828,557,1405,0,709,7599,11516,29731,9965,63330,6803,790,8653,928,242,22952,10229,2532,3366
