ori_first_two,data_year,Acquaintance,Babysittee,Boyfriend/Girlfriend,Child of Boyfriend/Girlfriend,Child,Employee,Employer,Friend,Grandchild,Grandparent,Homosexual Relationship,In-Law,Neighbor,Other Family Member,Otherwise Known,Parent,Relationship Unknown,Sibling,Stepchild,Spouse,Stepparent,Stepsibling,Stranger,Offender,Ex Spouse,Common Law Spouse
UT,2020,7228,37,5794,270,2843,116,174,1449,136,217,90,283,812,1189,3236,1966,13289,1501,319,3072,181,72,7648,2428,707,195
UT,2021,9887,45,6379,289,3245,205,242,1715,208,288,0,325,1061,1431,3259,2571,15740,1703,371,3521,201,82,11433,2427,663,268
UT,2022,10159,39,5789,313,3209,226,225,1625,164,284,0,314,951,1357,2823,2333,19725,1465,323,3426,184,75,10988,2348,605,284
VA,2018,17902,115,19878,756,4654,360,278,3804,352,473,817,530,1343,3094,11856,5336,16659,4005,713,9265,462,180,9310,11930,1089,704
VA,2019,19695,106,19299,508,4710,437,437,4016,360,605,108,604,1700,3354,13349,6159,23796,4294,667,9437,510,194,15993,12078,1119,767
VA,2020,16943,93,19152,569,4426,407,354,4073,371,587,0,683,2008,3102,11731,6001,18810,4093,629,9159,525,162,16039,10899,994,718
VA,2021,16609,100,18928,482,4390,382,402,3835,383,604,0,664,2206,3162,12775,5847,17686,3938,632,8967,475,183,17345,10910,985,682
VA,2022,18564,123,17993,469,4687,482,498,4206,380,706,0,652,2207,3511,14031,6486,23167,4327,740,8983,575,185,20450,11036,1042,658
VT,2018,923,3,775,46,200,11,8,127,12,19,4,18,69,103,646,160,224,88,23,227,15,8,340,195,96,30
VT,2019,1167,1,781,49,164,14,17,126,12,18,5,17,87,101,952,170,299,106,27,273,22,13,686,262,90,34
VT,2020,1120,3,742,41,157,10,14,128,5,20,1,15,115,83,803,182,355,94,33,226,15,10,803,198,69,16
VT,2021,1190,3,733,21,157,8,30,149,7,24,0,25,137,112,794,198,527,83,20,214,22,7,1047,143,78,8
VT,2022,1259,2,601,29,156,26,24,155,7,29,0,21,183,106,872,293,755,115,27,305,26,8,1622,219,105,9
WA,2018,10693,1167,18443,517,3398,307,157,2675,261,370,810,454,1876,2084,10455,5112,10499,3120,574,5923,462,165,17521,2386,976,253
WA,2019,16222,95,17617,461,3261,356,464,3860,244,815,183,648,2914,2585,14251,7391,67027,3569,638,6540,672,138,35922,2080,1136,257
WA,2020,14660,40,15932,494,2940,303,366,3832,256,832,0,559,3634,2561,12684,7001,75579,3542,518,6188,646,163,38349,2225,1086,211
WA,2021,14093,51,14954,441,3122,229,352,3674,259,665,0,591,4212,2460,13087,6830,55044,3400,522,5838,504,159,36084,2143,868,227
WA,2022,14361,45,14287,365,3017,251,378,3370,222,685,0,531,3945,2455,13186,6975,60479,3321,490,5867,552,154,36964,2369,847,190
WI,2018,6567,54,12154,256,1390,111,58,1236,96,88,149,76,272,1137,2719,1499,4577,1072,192,2001,164,60,5399,1539,221,80
WI,2019,8781,62,14179,329,1607,125,107,1469,105,164,0,134,397,1057,3360,2017,5179,1270,255,2278,204,78,7315,2059,271,96
WI,2020,10170,70,18261,327,1700,139,188,1966,129,314,0,142,714,1521,4336,2954,7063,1647,252,2842,271,103,11071,1858,422,126
WI,2021,11731,53,19624,369,2115,280,238,2289,149,388,0,172,882,1576,5003,3383,8264,1664,330,3087,284,111,13470,2238,492,113
WI,2022,11473,56,17932,336,2034,271,279,2384,109,344,0,171,942,1603,5823,3488,8013,1724,285,3002,302,99,13342,2306,468,125
WV,2018,2399,19,3394,65,645,23,23,282,53,94,70,89,310,387,1506,674,1600,384,72,1000,79,16,1578,512,217,148
WV,2019,2444,17,3313,57,752,28,10,297,66,117,61,109,296,477,1494,809,1276,428,100,1175,105,32,1529,448,260,111
WV,2020,2491,9,3494,67,865,24,16,333,94,122,53,94,377,452,1500,859,1430,489,117,1228,94,32,1518,509,275,104
WV,2021,2237,11,3316,93,828,24,18,292,82,119,0,118,378,448,1521,863,1528,399,99,1120,78,39,1542,409,276,82
WV,2022,2168,9,2922,81,866,27,20,263,96,112,0,83,381,434,1259,778,1205,401,96,1055,78,18,1221,567,217,95
WY,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,2019,124,3,130,7,19,2,6,27,0,6,0,2,7,20,44,20,29,24,2,38,3,0,78,33,12,13
WY,2020,363,6,249,8,48,8,6,76,5,6,0,7,19,44,103,64,86,42,11,159,4,4,251,85,28,27
WY,2021,1794,18,971,28,348,55,41,334,31,50,0,69,149,212,682,350,479,224,58,479,34,13,1248,664,92,34
WY,2022,1855,14,955,34,351,28,32,327,33,61,0,44,147,212,687,351,354,220,57,507,41,10,1185,795,102,24
